episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
1,14.0,14,1.0,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
2,15.0,15,0.9968333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
3,13.0,13,0.9936666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
4,21.0,21,0.9905,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
5,13.0,13,0.9873333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
6,16.0,16,0.9841666666666666,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
7,52.0,52,0.981,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
8,16.0,16,0.9778333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
9,38.0,38,0.9746666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
10,19.0,19,0.9715,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
11,29.0,29,0.9683333333333334,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
12,15.0,15,0.9651666666666666,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
13,14.0,14,0.962,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
14,15.0,15,0.9588333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
15,35.0,35,0.9556666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
16,41.0,41,0.9525,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
17,15.0,15,0.9493333333333334,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
18,30.0,30,0.9461666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
19,12.0,12,0.9430000000000001,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
20,34.0,34,0.9398333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
21,17.0,17,0.9366666666666666,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
22,15.0,15,0.9335,nan,nan,nan,,,,,,dqn,cartpole,dense,0.01,0.9,7,
23,19.0,19,0.9303333333333333,0.3279057741165161,0.17838558554649353,0.8051357269287109,,,,,,dqn,cartpole,dense,0.01,0.9,7,
24,12.0,12,0.9271666666666667,0.07167106866836548,0.7448084950447083,0.3277305066585541,,,,,,dqn,cartpole,dense,0.01,0.9,7,
25,13.0,13,0.924,0.13744640350341797,1.317817211151123,0.36489349603652954,,,,,,dqn,cartpole,dense,0.01,0.9,7,
